min_temp,max_temp,humidity,pressure
4.7,22.69,45.72,99.34
8.47,20.97,47.31,99.29
8.8,22.96,51.3,99.3
9.05,25.63,51.49,99.08
7.17,23.98,56.55,99.08
8.98,21.98,61.57,99.2
7.11,21.11,58.99,99.24
4.23,22.06,41.82,99.08
5.83,22.7,34.59,99.32
6.93,21.44,32.88,99.48
4.88,19.87,49.01,99.39
7.35,19.3,74.62,99.45
6.61,22.65,69.46,99.37
5.12,22.52,48.98,99.39
7.75,21.81,46.41,99.53
10.24,17.66,78.08,99.61
7.47,21.38,65.43,99.54
6.0,21.11,44.93,99.33
9.26,26.43,46.35,99.22
9.92,25.36,46.96,99.08
8.46,26.34,45.82,98.92
8.56,26.05,50.48,98.91
10.96,24.97,46.63,99.05
7.06,24.55,44.5,99.08
6.35,25.03,35.54,99.04
3.75,24.53,32.29,99.02
4.18,23.89,33.66,98.87
4.08,25.02,30.52,98.83
7.08,26.0,34.13,99.01
8.14,26.03,38.91,98.69
8.06,26.41,41.71,98.64
10.52,26.33,39.68,98.87
9.77,26.74,48.01,99.02
9.07,26.83,42.49,99.01
12.56,26.11,44.6,99.0
9.39,24.19,44.38,99.07
7.15,24.33,35.93,99.23
6.82,24.64,37.24,99.17
7.49,27.0,33.55,99.06
8.96,27.9,30.48,98.98
11.58,29.03,30.7,98.94
12.88,29.47,33.14,98.87
11.77,27.28,38.97,98.99
9.4,27.68,30.39,99.01
8.46,28.89,30.19,98.83
12.21,28.15,34.76,98.67
9.9,28.52,42.91,98.84
14.7,29.96,35.99,99.08
14.06,29.97,36.46,99.01
11.69,28.75,34.88,98.84
14.14,27.81,52.68,98.97
12.7,28.3,51.58,99.18
11.45,25.39,48.25,99.17
10.56,28.23,44.16,99.26
11.45,28.33,42.58,99.38
14.31,29.58,40.05,99.41
14.68,30.56,37.94,99.4
16.67,26.52,52.51,99.11
16.39,24.49,68.65,98.85
14.36,28.71,63.49,98.85
13.55,29.91,45.89,98.78
10.24,31.28,33.78,98.66
13.91,28.24,39.08,98.82
9.58,27.0,29.95,98.89
8.49,30.07,27.46,98.79
10.76,30.65,29.36,98.62
10.7,31.74,30.1,98.47
13.42,33.33,28.32,98.81
14.44,34.22,28.97,99.11
17.14,35.64,31.41,98.88
16.69,35.5,37.05,98.47
20.27,35.71,38.0,98.29
20.56,35.66,35.16,98.41
